annee,population,sol_cultures_ha,sol_paturages_ha,sol_foret_ha,sol_artificiel_ha,mat_fossiles_t,mat_minerais_t,mat_mineraux_t,mat_biomasse_t,co2_t,sol_cultures_ha_hab,sol_paturages_ha_hab,sol_foret_ha_hab,sol_artificiel_ha_hab,mat_fossiles_t_hab,mat_minerais_t_hab,mat_mineraux_t_hab,mat_biomasse_t_hab,co2_t_hab,mat_non_renouv_t_hab
2019,65729460.000000,20168458.470572,14252489.797117,45341693.520112,0.000000,156771521.802298,63853342.310922,541442523.984992,98748342.389249,420793136.328753,0.306840,0.216836,0.689823,0.000000,2.385103,0.971457,8.237441,1.502345,6.401896,11.594000
2020,65905273.000000,19271947.508262,13512165.616640,45684044.674459,0.000000,124141140.841282,67741783.183008,535476184.937998,94964332.029370,358681803.651787,0.292419,0.205024,0.693177,0.000000,1.883630,1.027866,8.124937,1.440922,5.442384,11.036433
1995,58192206.000000,24756347.923359,20603360.498076,72059922.796184,0.000000,199268653.343767,44192291.128355,314259231.215502,112839635.488904,363880021.259716,0.425424,0.354057,1.238309,0.000000,3.424319,0.759419,5.400366,1.939085,6.253071,9.584104
1996,58380637.000000,32794523.664988,20870062.269082,63464721.539274,0.000000,340916877.236652,55756020.044086,336562439.776408,124039637.781069,385038273.494333,0.561736,0.357483,1.087085,0.000000,5.839554,0.955043,5.764967,2.124671,6.595308,12.559564
1997,58568662.000000,24263369.062377,22868682.683651,72766306.832317,0.000000,232828512.646550,49182665.253373,358926933.901450,117272838.733108,347110205.388673,0.414272,0.390459,1.242410,0.000000,3.975309,0.839744,6.128310,2.002314,5.926552,10.943363
1998,58778817.000000,23433249.217912,20448254.619200,110556444.842150,0.000000,253205336.466347,58417008.627644,456517660.239147,114857266.696747,378546537.710043,0.398668,0.347885,1.880889,0.000000,4.307765,0.993845,7.766704,1.954059,6.440186,13.068313
1999,59084208.000000,23690596.084365,18526156.802985,90730002.832603,0.000000,281828778.501236,60028548.344379,481302393.809950,103216520.369170,396949337.887130,0.400963,0.313555,1.535605,0.000000,4.769951,1.015983,8.146041,1.746939,6.718366,13.931975
2000,59483716.000000,21447858.357903,19084825.652424,98001619.713751,0.000000,337545456.387458,71102651.625665,523697768.645077,116591554.300716,423224331.633360,0.360567,0.320841,1.647537,0.000000,5.674586,1.195330,8.804053,1.960058,7.114961,15.673968
2001,59905130.000000,23831557.965430,18966886.793793,96200017.907335,0.000000,307331589.503804,59538753.518108,490254020.754742,118942735.946671,403183176.814000,0.397822,0.316615,1.605873,0.000000,5.130305,0.993884,8.183840,1.985518,6.730361,14.308029
2002,60327247.000000,22731907.593835,20803329.921789,78356422.586705,0.000000,296744059.298750,59971593.486292,498878847.771580,111818830.858842,397258876.953045,0.376810,0.344841,1.298856,0.000000,4.918906,0.994105,8.269544,1.853538,6.585066,14.182555
